mark	X	Y	refr1	refr2	xsize	asp	QEXT	QSCA	GSCA
sw10_50	13.255651486349896	18.39340590003965	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	11.096564945446136	1.1631218330442117	2.5395271043553653	2.539526542807239	0.734604714239591
sw10_50	14.728501651499885	20.43758997928652	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	12.329516606051259	1.163148713403658	2.3271474389309623	2.3271467776398302	0.698520430751823
sw10_50	16.201351816649872	22.481774101575628	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	13.562468266656387	1.1631707086519592	2.0100709262104233	2.0100702178647984	0.672482829796259
sw10_50	17.67420198179986	24.525958256145767	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	14.795419927261513	1.1631890395565316	2.3632865189836894	2.363285674594393	0.71063324730848
sw10_50	19.14705214694985	26.57014243554709	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	16.02837158786664	1.1632045514090137	2.429659499944665	2.4296586820693054	0.756213705583297
sw10_50	20.619902312099843	28.61432663445834	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	17.261323248471772	1.1632178480756798	2.1292971673889394	2.1292963082489784	0.726781589194399
sw10_50	22.092752477249828	30.65851084897735	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	18.49427490907689	1.1632293724456386	2.093656806817515	2.093655891480284	0.726671284386369
sw10_50	23.565602642399817	32.70269507617754	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	19.727226569682017	1.1632394567204238	2.3277939896056523	2.32779300857623	0.750176382696605
sw10_50	25.038452807549806	34.746879313820955	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	20.96017823028714	1.1632483549595565	2.1816089269489414	2.1816078905829612	0.739625177701497
sw10_50	26.511302972699795	36.79106356016701	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	22.193129890892273	1.1632562647806106	2.0482526269165016	2.0482515090008526	0.723296935043988
sw10_50	27.98415313784978	38.83524781384151	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	23.426081551497397	1.1632633422084375	2.2442949379408703	2.244293105481205	0.746284251209227
